property_type,state,region,lat,lon,area_m2,price_usd
apartment,Pernambuco,Northeast,-8.192952,-34.931366,64,47910.126000000004
apartment,Pernambuco,Northeast,-8.152399,-34.920338,148,129756.594
apartment,Pernambuco,Northeast,-8.041209,-34.895039,94,79850.214
apartment,Pernambuco,Northeast,-8.0347457,-34.8972145,128,147722.894
apartment,Pernambuco,Northeast,-8.035595,-34.921719,216,299438.3
apartment,Pernambuco,Northeast,-8.129817,-34.914825,135,139737.87
apartment,Pernambuco,Northeast,-8.109441,-34.898106,130,139737.87
apartment,Pernambuco,Northeast,-8.0373731,-34.8971001,145,149719.146
apartment,Pernambuco,Northeast,-8.056418,-34.909309,112,146203.144
apartment,Pernambuco,Northeast,-8.033863,-34.918545,200,323393.37000000005
apartment,Pernambuco,Northeast,-8.108315,-34.898277,108,159700.43000000002
apartment,Pernambuco,Northeast,-8.115533,-34.896854,86,149719.146
apartment,Pernambuco,Northeast,-8.126271,-34.903793,135,129756.594
apartment,Pernambuco,Northeast,-8.040929,-34.888283,60,93225.122
apartment,Pernambuco,Northeast,-8.038549,-34.901844,75,73861.444
apartment,Pernambuco,Northeast,-8.027162,-34.913445,180,179662.98200000002
apartment,Pernambuco,Northeast,-8.0620223,-34.8971463,93,69868.932
apartment,Pernambuco,Northeast,-8.0373731,-34.8971001,110,161535.25400000002
apartment,Pernambuco,Northeast,-8.1208606,-34.899662,175,171677.958
apartment,Pernambuco,Northeast,-8.1460785,-34.906419,170,159700.43000000002
apartment,Pernambuco,Northeast,-8.056418,-34.909309,67,79850.214
apartment,Pernambuco,Northeast,-8.089291,-34.903793,119,173014.05200000003
apartment,Pernambuco,Northeast,-8.183491,-34.921719,54,59887.65600000001
apartment,Pernambuco,Northeast,-8.046962,-34.899654,100,119775.318
apartment,Pernambuco,Northeast,-8.1092891,-34.907094,73,81846.46600000001
apartment,Pernambuco,Northeast,-8.1092891,-34.907094,73,77853.95400000001
apartment,Pernambuco,Northeast,-8.0938881,-34.883418,66,87835.232
apartment,Pernambuco,Northeast,-8.09607,-34.884548,145,93824.00200000001
apartment,Pernambuco,Northeast,-8.1460785,-34.906419,167,169681.706
apartment,Pernambuco,Northeast,-8.004057,-34.841721,75,79850.214
apartment,Pernambuco,Northeast,-8.034344,-34.896725,55,71865.19
apartment,Pernambuco,Northeast,-8.0508763,-34.9113739,155,229569.36200000002
house,Pernambuco,Northeast,-8.049178,-34.924473,200,169681.706
apartment,Pernambuco,Northeast,-8.0310293,-34.9275023,140,189644.25800000003
house,Pernambuco,Northeast,-8.0314434,-34.92159,190,215595.58
apartment,Pernambuco,Northeast,-8.044832,-34.910873,65,73462.194
apartment,Pernambuco,Northeast,-8.089291,-34.903793,109,167286.196
apartment,Pernambuco,Northeast,-8.108554,-34.891766,102,155707.918
apartment,Pernambuco,Northeast,-8.126271,-34.903793,165,119775.318
apartment,Pernambuco,Northeast,-8.0369,-34.884521,65,69669.30600000001
apartment,Pernambuco,Northeast,-8.056418,-34.909309,95,119775.318
apartment,Pernambuco,Northeast,-8.056418,-34.909309,86,113786.554
apartment,Pernambuco,Northeast,-8.1241574,-34.9000543,74,94901.962
apartment,Pernambuco,Northeast,-8.1937545,-34.9228696,63,62594.90600000001
apartment,Pernambuco,Northeast,-8.1416581,-34.9099297,125,127209.01200000002
apartment,Pernambuco,Northeast,-8.1103967,-34.9063162,110,122161.032
apartment,Pernambuco,Northeast,-8.1103967,-34.9063162,120,137304.964
apartment,Pernambuco,Northeast,-8.1978842,-34.92564,64,50904.508
apartment,Pernambuco,Northeast,-8.1118458,-34.8947337,158,222110.97400000005
apartment,Pernambuco,Northeast,-8.0955108,-34.884688,156,228976.22000000003
apartment,Pernambuco,Northeast,-8.0944065,-34.883792,123,197880.684
apartment,Pernambuco,Northeast,-8.1294021,-34.9056294,63,84806.00400000002
house,Pernambuco,Northeast,-8.183491,-34.921719,250,129756.594
apartment,Pernambuco,Northeast,-8.094985,-34.892761,240,223365.92000000004
apartment,Pernambuco,Northeast,-8.1263587,-34.905748,130,117779.06599999999
apartment,Pernambuco,Northeast,-8.1207496,-34.899219,120,69868.932
apartment,Pernambuco,Northeast,-8.1435997,-34.909065,103,97816.508
apartment,Pernambuco,Northeast,-8.034344,-34.896725,82,115782.80600000001
apartment,Pernambuco,Northeast,-8.046962,-34.899654,100,72863.31999999999
apartment,Pernambuco,Northeast,-8.044034,-34.8955201,170,135745.358
apartment,Pernambuco,Northeast,-8.062398,-34.904552,140,159700.43000000002
apartment,Pernambuco,Northeast,-8.027134,-34.901733,108,105801.53000000001
apartment,Pernambuco,Northeast,-8.1103967,-34.9063162,142,149420.11000000002
apartment,Pernambuco,Northeast,-8.1103967,-34.9063162,170,181727.16000000003
apartment,Pernambuco,Northeast,-8.032375,-34.906925,203,235558.13199999998
apartment,Pernambuco,Northeast,-8.062398,-34.904552,140,169681.706
house,Pernambuco,Northeast,-8.1567832,-34.914263,250,319400.86000000004
apartment,Pernambuco,Northeast,-8.044832,-34.910873,65,75857.702
apartment,Pernambuco,Northeast,-8.1112378,-34.8958906,163,242302.88
apartment,Pernambuco,Northeast,-8.033752,-34.8982362,89,137304.964
apartment,Pernambuco,Northeast,-8.033752,-34.8982362,113,166583.228
apartment,Pernambuco,Northeast,-8.043853,-34.907928,203,275483.236
apartment,Pernambuco,Northeast,-8.068109,-34.924175,75,51902.638000000006
apartment,Pernambuco,Northeast,-8.0179739,-34.940726,58,67844.80600000001
apartment,Pernambuco,Northeast,-8.0307507,-34.917765,68,93084.69
apartment,Pernambuco,Northeast,-8.0275469,-34.9078785,66,84200.246
apartment,Pernambuco,Northeast,-8.1249136,-34.9077055,56,68046.722
apartment,Pernambuco,Northeast,-8.1410578,-34.9047129,140,191823.11200000002
apartment,Pernambuco,Northeast,-8.0485123,-34.9106168,62,60575.72
apartment,Pernambuco,Northeast,-8.0336819,-34.8983573,127,149420.11000000002
apartment,Pernambuco,Northeast,-8.0578381,-34.882897,131,129756.594
apartment,Pernambuco,Northeast,-8.02765,-34.920338,96,139737.87
apartment,Pernambuco,Northeast,-8.048381,-34.908379,75,81846.46600000001
apartment,Pernambuco,Northeast,-8.021971,-34.931366,150,219588.086
apartment,Pernambuco,Northeast,-8.0578238,-34.9126499,140,69868.932
apartment,Pernambuco,Northeast,-8.02765,-34.920338,105,163692.934
apartment,Pernambuco,Northeast,-8.106074,-34.888065,94,149719.146
apartment,Pernambuco,Northeast,-8.140393,-34.906624,128,219588.086
apartment,Pernambuco,Northeast,-8.140393,-34.906624,128,209606.81000000003
apartment,Pernambuco,Northeast,-8.09607,-34.884548,90,97816.508
apartment,Pernambuco,Northeast,-8.103477,-34.888622,230,159700.43000000002
apartment,Pernambuco,Northeast,-8.0378897,-34.9113117,122,169681.706
apartment,Pernambuco,Northeast,-8.035595,-34.921719,106,135745.358
apartment,Pernambuco,Northeast,-8.021971,-34.931366,204,259513.196
apartment,Pernambuco,Northeast,-8.056418,-34.909309,91,135745.358
apartment,Pernambuco,Northeast,-8.0369,-34.884521,64,72863.31999999999
apartment,Pernambuco,Northeast,-8.1274129,-34.905172,122,105801.53000000001
apartment,Pernambuco,Northeast,-8.0418977,-34.9456721,93,59887.65600000001
apartment,Pernambuco,Northeast,-8.086438,-34.89069,87,59887.65600000001
apartment,Pernambuco,Northeast,-8.044757,-34.89185,110,67872.678
apartment,Pernambuco,Northeast,-8.044204,-34.891396,147,169681.706
apartment,Pernambuco,Northeast,-8.02765,-34.920338,104,127760.342
apartment,Pernambuco,Northeast,-8.046015,-34.910507,86,105801.53000000001
apartment,Pernambuco,Northeast,-8.049665,-34.931366,62,71586.312
apartment,Pernambuco,Northeast,-8.044542,-34.894829,143,183655.492
apartment,Pernambuco,Northeast,-8.0407538,-34.888156,60,84840.848
apartment,Pernambuco,Northeast,-8.02765,-34.920338,94,107797.79
apartment,Pernambuco,Northeast,-8.126271,-34.903793,176,175670.47
apartment,Pernambuco,Northeast,-8.215346,-34.927231,103,93824.00200000001
apartment,Pernambuco,Northeast,-8.035595,-34.921719,106,129756.594
apartment,Pernambuco,Northeast,-8.115533,-34.896854,117,103805.278
apartment,Pernambuco,Northeast,-8.113256,-34.897057,55,89831.49
apartment,Pernambuco,Northeast,-8.0576539,-34.8965881,120,59887.65600000001
apartment,Pernambuco,Northeast,-8.034929,-34.892761,125,157704.17
apartment,Pernambuco,Northeast,-8.034929,-34.892761,115,165689.19400000002
apartment,Pernambuco,Northeast,-8.040035,-34.899654,68,61883.914000000004
apartment,Pernambuco,Northeast,-8.034929,-34.892761,125,163848.048
apartment,Pernambuco,Northeast,-8.047979,-34.908512,82,95820.25400000002
apartment,Pernambuco,Northeast,-8.035284,-34.903919,148,153711.65800000002
apartment,Pernambuco,Northeast,-8.02765,-34.920338,57,75658.07800000001
apartment,Pernambuco,Northeast,-8.034104,-34.89806,113,129756.594
apartment,Pernambuco,Northeast,-8.047052,-34.874832,80,95820.25400000002
apartment,Pernambuco,Northeast,-8.029394,-34.922832,85,109794.042
apartment,Pernambuco,Northeast,-8.02765,-34.920338,96,115782.80600000001
apartment,Pernambuco,Northeast,-8.1311923,-34.905777,82,71865.19
apartment,Pernambuco,Northeast,-8.1280955,-34.906856,98,89831.49
apartment,Pernambuco,Northeast,-8.1376548,-34.905588,68,73861.444
apartment,Pernambuco,Northeast,-8.125862,-34.904531,83,79850.214
apartment,Pernambuco,Northeast,-8.0927682,-34.884335,79,79850.214
apartment,Pernambuco,Northeast,-8.1239701,-34.905836,80,83842.72
apartment,Pernambuco,Northeast,-8.0565882,-34.8781384,176,232206.92799999999
apartment,Pernambuco,Northeast,-8.1132697,-34.896273,136,94822.12400000001
apartment,Pernambuco,Northeast,-8.1413642,-34.9263512,92,151439.296
apartment,Pernambuco,Northeast,-8.1306902,-34.9098391,65,60575.72
apartment,Pernambuco,Northeast,-8.206632,-34.921719,189,137741.618
apartment,Pernambuco,Northeast,-8.056418,-34.909309,112,145726.642
apartment,Pernambuco,Northeast,-8.02765,-34.920338,87,84840.848
apartment,Pernambuco,Northeast,-8.035134,-34.893791,86,105801.53000000001
apartment,Pernambuco,Northeast,-8.027162,-34.913445,79,89831.49
apartment,Pernambuco,Northeast,-8.030991,-34.880032,55,53193.01800000001
apartment,Pernambuco,Northeast,-8.043853,-34.907928,203,269494.472
apartment,Pernambuco,Northeast,-8.0369,-34.884521,64,67872.678
apartment,Pernambuco,Northeast,-8.02765,-34.920338,67,67872.678
apartment,Pernambuco,Northeast,-8.032006,-34.89827,175,199625.534
apartment,Pernambuco,Northeast,-8.02765,-34.920338,65,80848.338
apartment,Pernambuco,Northeast,-8.032974,-34.924965,189,279475.748
apartment,Pernambuco,Northeast,-8.032375,-34.906925,226,249531.92000000004
apartment,Pernambuco,Northeast,-8.044757,-34.89185,179,131752.85400000002
house,Pernambuco,Northeast,-8.46275,-35.082859,209,318709.552
apartment,Pernambuco,Northeast,-8.035595,-34.921719,155,184653.616
apartment,Pernambuco,Northeast,-8.040437,-34.883881,55,79850.214
apartment,Pernambuco,Northeast,-8.034929,-34.892761,86,125764.08200000001
apartment,Pernambuco,Northeast,-8.040437,-34.883881,56,79850.214
apartment,Pernambuco,Northeast,-8.040437,-34.883881,56,79850.214
apartment,Pernambuco,Northeast,-8.044204,-34.891396,105,139737.87
apartment,Pernambuco,Northeast,-8.0352674,-34.915894,235,229569.36200000002
apartment,Pernambuco,Northeast,-8.0395221,-34.9073309,71,75857.702
apartment,Pernambuco,Northeast,-8.113256,-34.897057,55,88833.36
apartment,Pernambuco,Northeast,-8.1238,-34.90247,135,129756.594
apartment,Pernambuco,Northeast,-8.103477,-34.888622,85,209606.81000000003
apartment,Pernambuco,Northeast,-8.021971,-34.931366,140,165689.19400000002
apartment,Pernambuco,Northeast,-8.1395373,-34.909275,85,71865.19
apartment,Pernambuco,Northeast,-8.112362,-34.895853,183,229569.36200000002
apartment,Pernambuco,Northeast,-8.1398641,-34.908659,166,123767.83000000002
apartment,Pernambuco,Northeast,-8.1376548,-34.905588,66,73861.444
